Model,Accuracy,Macro-F1,Hyperparams,TrainingParams
relu_20250409_022039.npz,0.3292,0.29925939789962824,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 512, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.9, 'weight_decay': 0.0001}}"
relu_20250409_063626.npz,0.3479,0.2990123722401314,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 512, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.9, 'beta2': 0.999, 'eps': 1e-06}}"
relu_20250409_152551.npz,0.3456,0.29848556750205757,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 256, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.9, 'beta2': 0.999, 'eps': 1e-06}}"
relu_20250409_060844.npz,0.341,0.29654420566359535,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 256, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.9, 'beta2': 0.999, 'eps': 1e-06}}"
relu_20250409_043451.npz,0.3331,0.29604239369731733,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 512, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.92, 'weight_decay': 0.0001}}"
relu_20250409_031610.npz,0.3345,0.29587779137241743,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 256, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.9, 'beta2': 0.999, 'eps': 1e-06}}"
relu_20250409_051818.npz,0.3417,0.2956168118702553,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 256, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.92, 'beta2': 0.98, 'eps': 1e-06}}"
relu_20250409_045237.npz,0.3351,0.29557817639885975,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 256, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.9, 'weight_decay': 0.0001}}"
relu_20250409_054657.npz,0.3396,0.2944870594086652,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 512, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.92, 'beta2': 0.98, 'eps': 1e-06}}"
relu_20250409_053322.npz,0.3364,0.29443431666157804,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 512, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.92, 'weight_decay': 0.0001}}"
relu_20250409_034529.npz,0.3421,0.29342203944043727,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 256, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.92, 'weight_decay': 0.0001}}"
relu_20250409_071850.npz,0.3402,0.2930008895401091,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 256, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.92, 'beta2': 0.98, 'eps': 1e-06}}"
relu_20250409_023212.npz,0.3212,0.2900523906806864,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 256, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.9, 'weight_decay': 0.0001}}"
relu_20250409_042319.npz,0.3266,0.2898508925158204,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 256, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.92, 'beta2': 0.98, 'eps': 1e-06}}"
relu_20250409_030701.npz,0.3175,0.28927608809786565,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 256, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.9, 'weight_decay': 0.0001}}"
relu_20250409_024621.npz,0.3279,0.288871012679628,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 256, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.92, 'beta2': 0.98, 'eps': 1e-06}}"
relu_20250409_040424.npz,0.3244,0.2884714137951357,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 512, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.9, 'beta2': 0.999, 'eps': 1e-06}}"
